# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0044218	CC	e	other organism cell membrane	2/16	7/11561	3.755980777769135e-05	3	2	0.028439010157118885	G012022, G012023
GO:0044217	CC	e	other organism part	2/16	7/11561	3.755980777769135e-05	2	2	0.028439010157118885	G012022, G012023
GO:0042151	CC	e	nematocyst	2/16	8/11561	5.0039314059446716e-05	5	2	0.028439010157118885	G012022, G012023
GO:0090729	MF	e	toxin activity	3/16	19/11561	2.0793365229431943e-06	1	3	0.007891082104569423	G012022, G012023, G013787
GO:0015267	MF	e	channel activity	6/16	370/11561	6.295511917742098e-06	4	6	0.008214963344364449	G011115, G011308, G012022, G012023, G013772, G021731
GO:0022803	MF	e	passive transmembrane transporter activity	6/16	372/11561	6.494042169458062e-06	3	6	0.008214963344364449	G011115, G011308, G012022, G012023, G013772, G021731
