# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0098590	CC	e	plasma membrane region	14/33	817/11561	1.6019250609713264e-08	3	14	2.7312822289561114e-05	G003673, G004925, G004987, G008343, G010145, G012733, G019608, G021314, G022521, G023037, G025627, G027315, G027755, G027874
GO:0097060	CC	e	synaptic membrane	9/33	294/11561	8.880245640159164e-08	4	9	7.570409408235687e-05	G003673, G004925, G004987, G008343, G012733, G019608, G021314, G022521, G025627
GO:0045211	CC	e	postsynaptic membrane	6/33	144/11561	2.82411961402964e-06	5	6	0.0016050413139735119	G003673, G004925, G012733, G021314, G022521, G025627
GO:0042734	CC	e	presynaptic membrane	5/33	123/11561	2.348931832901875e-05	5	5	0.010012321937744241	G003673, G004925, G008343, G012733, G022521
GO:0048786	CC	e	presynaptic active zone	3/33	32/11561	9.933751036774515e-05	2	3	0.033874091035401094	G004987, G008343, G012733
GO:0003824	MF	p	catalytic activity	1/33	4457/11561	2.6620641956180983e-06	1	1	0.010102533622370683	G003583
