# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0051260	BP	e	protein homooligomerization	4/10	115/11561	1.863270122729966e-06	7	4	0.02123196304850796	G004038, G005688, G005721, G028609
GO:0051259	BP	e	protein complex oligomerization	4/10	146/11561	4.832417758463101e-06	6	4	0.027532700178843517	G004038, G005688, G005721, G028609
GO:0008076	CC	e	voltage-gated potassium channel complex	3/10	68/11561	2.2677438320173292e-05	7	3	0.01467849371239883	G004038, G005688, G028609
GO:0043679	CC	e	axon terminus	3/10	68/11561	2.2677438320173292e-05	3	3	0.01467849371239883	G004038, G008375, G028609
GO:0034705	CC	e	potassium channel complex	3/10	71/11561	2.582726166404486e-05	6	3	0.01467849371239883	G004038, G005688, G028609
GO:0044306	CC	e	neuron projection terminus	3/10	86/11561	4.5930504345466664e-05	2	3	0.019577877477255166	G004038, G008375, G028609
