# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005222	MF	e	intracellularly cAMP-activated cation channel activity	2/244	2/11561	0.0004436524300616572	10	2	0.018707344134266547	G025217, G025369
GO:0005250	MF	e	A-type (transient outward) potassium channel activity	2/244	2/11561	0.0004436524300616572	11	2	0.018707344134266547	G016039, G027007
GO:0015187	MF	e	glycine transmembrane transporter activity	4/244	20/11561	0.0007186598151423467	6	4	0.029644717374621803	G022767, G024626, G024644, G027668
GO:0015108	MF	e	chloride transmembrane transporter activity	5/244	36/11561	0.0008877532345625442	5	5	0.03546340552805111	G015391, G015392, G019976, G020437, G027315
GO:0015294	MF	e	solute:monoatomic cation symporter activity	6/244	54/11561	0.0009196266307657819	6	6	0.03635399024745982	G012274, G019976, G022767, G024626, G024644, G027315
GO:0030552	MF	e	cAMP binding	3/244	10/11561	0.0009984951293386733	8	3	0.03827564662464915	G006665, G025217, G025369
GO:0015495	MF	e	gamma-aminobutyric acid:proton symporter activity	3/244	10/11561	0.0009984951293386733	9	3	0.03827564662464915	G022767, G024626, G024644
GO:0019894	MF	e	kinesin binding	5/244	37/11561	0.001009024320657994	4	5	0.03829247296897087	G003976, G004581, G013062, G013066, G028609
GO:0015464	MF	e	acetylcholine receptor activity	4/244	22/11561	0.001049665417164166	5	4	0.03944039859542584	G014486, G017431, G023419, G023672
GO:0000981	MF	e	DNA-binding transcription factor activity, RNA polymerase II-specific	15/244	286/11561	0.001097528581087977	3	15	0.04083451926694973	G002595, G003891, G005780, G006435, G007969, G008286, G009295, G011383, G016398, G018418, G020207, G021588, G022640, G022927, G023560
GO:0015379	MF	e	potassium:chloride symporter activity	2/244	3/11561	0.0013123806160203336	9	2	0.04654658353081463	G019976, G027315
GO:0005221	MF	e	intracellularly cyclic nucleotide-activated monoatomic cation channel activity	2/244	3/11561	0.0013123806160203336	9	2	0.04654658353081463	G025217, G025369
GO:0031718	MF	e	type 1 cannabinoid receptor binding	2/244	3/11561	0.0013123806160203336	6	2	0.04654658353081463	G015972, G015981
GO:0043855	MF	e	cyclic nucleotide-activated monoatomic ion channel activity	2/244	3/11561	0.0013123806160203336	8	2	0.04654658353081463	G025217, G025369
GO:0031717	MF	e	cannabinoid receptor binding	2/244	3/11561	0.0013123806160203336	5	2	0.04654658353081463	G015972, G015981
GO:0003700	MF	e	DNA-binding transcription factor activity	16/244	322/11561	0.0013323668457272553	2	16	0.046817890551249394	G002595, G003891, G005780, G006435, G007969, G008286, G009295, G011383, G016398, G018418, G020207, G021363, G021588, G022640, G022927, G023560
GO:0003824	MF	p	catalytic activity	41/244	4457/11561	1.0043630546704802e-13	1	41	1.5881490801976967e-11	G000885, G003583, G004712, G004818, G005197, G006428, G006731, G008375, G010236, G011398, G012109, G012113, G012192, G012194, G013027, G013315, G015571, G015573, G016102, G016283, G016747, G016933, G018427, G018524, G018525, G019043, G019542, G019557, G019559, G019562, G019729, G020709, G021207, G021617, G023067, G023327, G023698, G024959, G027064, G027650, G027754
GO:0016740	MF	p	transferase activity	12/244	1903/11561	3.903259901036251e-08	2	12	4.2322489498378785e-06	G000885, G003583, G006731, G012192, G012194, G013315, G016102, G016933, G018427, G020709, G021207, G023327
GO:0003723	MF	p	RNA binding	1/244	911/11561	5.564584419059939e-08	4	1	5.8659994084256855e-06	G008745
GO:0097159	MF	p	organic cyclic compound binding	48/244	4007/11561	2.7024078850758366e-07	2	48	2.5639094809657e-05	G002125, G002595, G003583, G003891, G004818, G004983, G005707, G005780, G006428, G006435, G006665, G006810, G007184, G007815, G007969, G008046, G008286, G008745, G009295, G010885, G011383, G011398, G012920, G012974, G013027, G013315, G016398, G017358, G018418, G019542, G019557, G019559, G020207, G020422, G020944, G020945, G021207, G021363, G021588, G022411, G022611, G022640, G022927, G023560, G025217, G025349, G025369, G028877
GO:0035639	MF	p	purine ribonucleoside triphosphate binding	11/244	1528/11561	8.510144981619182e-06	5	11	0.0006548200004854771	G004818, G005707, G010885, G013027, G013315, G017358, G019542, G019557, G019559, G021207, G022411
GO:0016772	MF	p	transferase activity, transferring phosphorus-containing groups	2/244	797/11561	8.627404485974665e-06	3	2	0.0006548200004854771	G013315, G021207
GO:0005524	MF	p	ATP binding	8/244	1284/11561	1.168532497209928e-05	8	8	0.0008695256523356228	G005707, G010885, G013315, G017358, G019542, G019557, G021207, G022411
GO:0003676	MF	p	nucleic acid binding	24/244	2360/11561	1.2196120545560479e-05	3	24	0.0008900822590461926	G002595, G003583, G003891, G004983, G005780, G006435, G006810, G007184, G007969, G008286, G008745, G009295, G011383, G016398, G018418, G019542, G020207, G021363, G021588, G022611, G022640, G022927, G023560, G025349
GO:1901265	MF	p	nucleoside phosphate binding	15/244	1744/11561	1.8402412753088257e-05	3	15	0.0012040889034132746	G004818, G005707, G006665, G010885, G011398, G013027, G013315, G017358, G019542, G019557, G019559, G021207, G022411, G025217, G025369
GO:0000166	MF	p	nucleotide binding	15/244	1744/11561	1.8402412753088257e-05	4	15	0.0012040889034132746	G004818, G005707, G006665, G010885, G011398, G013027, G013315, G017358, G019542, G019557, G019559, G021207, G022411, G025217, G025369
GO:0140640	MF	p	catalytic activity, acting on a nucleic acid	1/244	645/11561	2.5774281994428704e-05	2	1	0.0016044916204366545	G019542
GO:1901363	MF	p	heterocyclic compound binding	17/244	1853/11561	2.8807007586612223e-05	3	17	0.001735279266526879	G004818, G005707, G006665, G008046, G010885, G011398, G013027, G013315, G017358, G019542, G019557, G019559, G021207, G022411, G023671, G025217, G025369
GO:0097367	MF	p	carbohydrate derivative binding	16/244	1766/11561	4.365517896818364e-05	2	16	0.002588615690379014	G004818, G005707, G006665, G010885, G013027, G013315, G017358, G018525, G019542, G019557, G019559, G021207, G022411, G025217, G025369, G026853
GO:0017076	MF	p	purine nucleotide binding	14/244	1627/11561	5.247359091883532e-05	5	14	0.003063650423645847	G004818, G005707, G006665, G010885, G013027, G013315, G017358, G019542, G019557, G019559, G021207, G022411, G025217, G025369
GO:0030554	MF	p	adenyl nucleotide binding	11/244	1381/11561	8.488677574327421e-05	6	11	0.004602075913510366	G005707, G006665, G010885, G013315, G017358, G019542, G019557, G021207, G022411, G025217, G025369
GO:0032553	MF	p	ribonucleotide binding	14/244	1574/11561	9.578560332224236e-05	5	14	0.005048699508443191	G004818, G005707, G006665, G010885, G013027, G013315, G017358, G019542, G019557, G019559, G021207, G022411, G025217, G025369
GO:0032555	MF	p	purine ribonucleotide binding	14/244	1557/11561	0.0001305037328082642	6	14	0.006603488880098169	G004818, G005707, G006665, G010885, G013027, G013315, G017358, G019542, G019557, G019559, G021207, G022411, G025217, G025369
GO:0140096	MF	p	catalytic activity, acting on a protein	18/244	1787/11561	0.00021508078604677512	2	18	0.01043645038519689	G003583, G005197, G010236, G013315, G015571, G015573, G016102, G016747, G016933, G018524, G020709, G021207, G021617, G023067, G023698, G027064, G027650, G027754
GO:0032559	MF	p	adenyl ribonucleotide binding	11/244	1311/11561	0.0002186924824657684	7	11	0.01043645038519689	G005707, G006665, G010885, G013315, G017358, G019542, G019557, G021207, G022411, G025217, G025369
GO:0016462	MF	p	pyrophosphatase activity	2/244	626/11561	0.0002629996705418223	5	2	0.012148569765779348	G004818, G013027
GO:0016818	MF	p	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	2/244	629/11561	0.00026721885225345883	4	2	0.012148569765779348	G004818, G013027
GO:0016817	MF	p	hydrolase activity, acting on acid anhydrides	2/244	630/11561	0.000268901148965867	3	2	0.012148569765779348	G004818, G013027
GO:0016787	MF	p	hydrolase activity	22/244	1934/11561	0.0006733665119226422	2	22	0.028081603436773926	G004712, G004818, G005197, G008375, G010236, G012109, G013027, G015571, G015573, G016747, G018524, G018525, G019043, G019557, G019559, G021617, G023067, G023327, G023698, G027064, G027650, G027754
GO:0016301	MF	p	kinase activity	2/244	559/11561	0.0007756129080065013	4	2	0.03165001060091046	G013315, G021207
GO:0017111	MF	p	ribonucleoside triphosphate phosphatase activity	2/244	570/11561	0.000795905339344859	6	2	0.032132561306529146	G004818, G013027
GO:0016887	MF	p	ATP hydrolysis activity	0/244	353/11561	0.0009746356223864572	7	0	0.03813136275212995	
GO:0140098	MF	p	catalytic activity, acting on RNA	0/244	325/11561	0.0014164706871791972	3	0	0.0493165711728904	
