# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:1903046	BP	e	meiotic cell cycle process	5/15	113/11561	2.267043832360163e-07	3	5	0.0025832964469744055	G004254, G004487, G005101, G011286, G016321
GO:0061982	BP	e	meiosis I cell cycle process	4/15	58/11561	7.470451951662428e-07	4	4	0.004256289999459668	G004254, G004487, G005101, G011286
GO:0000795	CC	e	synaptonemal complex	3/15	16/11561	9.79667514236709e-07	3	3	0.0008351665558867945	G003773, G004487, G005101
GO:0099086	CC	e	synaptonemal structure	3/15	16/11561	9.79667514236709e-07	2	3	0.0008351665558867945	G003773, G004487, G005101
GO:0000801	CC	e	central element	2/15	4/11561	9.413818643548151e-06	2	2	0.005350186929083199	G003773, G005101
GO:0005694	CC	e	chromosome	4/15	200/11561	0.00010216412264394827	5	4	0.04354745727698295	G003773, G004487, G005101, G011286
