# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0048018	MF	e	receptor ligand activity	6/48	79/11561	8.200634805934479e-07	4	6	0.0022402854543511503	G004140, G004354, G006522, G009680, G012497, G026853
GO:0030546	MF	e	signaling receptor activator activity	6/48	84/11561	1.1806510958372333e-06	3	6	0.0022402854543511503	G004140, G004354, G006522, G009680, G012497, G026853
GO:0030545	MF	e	signaling receptor regulator activity	6/48	101/11561	3.490756140224067e-06	2	6	0.004415806517383445	G004140, G004354, G006522, G009680, G012497, G026853
GO:0005125	MF	e	cytokine activity	4/48	37/11561	1.5621221610111245e-05	5	4	0.014820634002593045	G004140, G004354, G009680, G026853
GO:0008083	MF	e	growth factor activity	4/48	41/11561	2.3662859241078128e-05	5	4	0.017960110163978298	G004140, G006522, G009680, G026853
