# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0007585	BP	e	respiratory gaseous exchange by respiratory system	6/321	20/11561	1.2196797235296823e-05	2	6	0.004963660874864546	G011632, G012192, G012194, G018460, G019724, G022588
GO:0033037	BP	e	polysaccharide localization	4/321	7/11561	1.9111813324572608e-05	3	4	0.0075096245804656845	G011632, G012192, G012194, G022588
GO:0003143	BP	e	embryonic heart tube morphogenesis	8/321	43/11561	2.0108169283691992e-05	6	8	0.007637752966255675	G003904, G003912, G005557, G014991, G016593, G023176, G023177, G023191
GO:0060993	BP	e	kidney morphogenesis	5/321	14/11561	2.605640315559312e-05	4	5	0.0095778294825156	G003904, G003912, G008423, G023176, G023177
GO:0003171	BP	e	atrioventricular valve development	4/321	8/11561	3.7387053811196994e-05	4	4	0.01290986297510878	G003904, G003912, G023176, G023177
GO:0051284	BP	e	positive regulation of sequestering of calcium ion	4/321	8/11561	3.7387053811196994e-05	5	4	0.01290986297510878	G003904, G003912, G023176, G023177
GO:0051283	BP	e	negative regulation of sequestering of calcium ion	5/321	16/11561	5.430348805213699e-05	5	5	0.018021673483863087	G003904, G003912, G016523, G023176, G023177
GO:0001946	BP	e	lymphangiogenesis	4/321	9/11561	6.58251186733633e-05	3	4	0.02083547853563819	G003904, G003912, G023176, G023177
GO:0010882	BP	e	regulation of cardiac muscle contraction by calcium ion signaling	5/321	17/11561	7.51886437786981e-05	9	5	0.02315607015833148	G003904, G003912, G010127, G023176, G023177
GO:0021853	BP	e	cerebral cortex GABAergic interneuron migration	3/321	4/11561	8.309535351270265e-05	9	3	0.024917672454664384	G001197, G003197, G026140
GO:0034765	BP	e	regulation of monoatomic ion transmembrane transport	16/321	192/11561	8.87878286325612e-05	6	16	0.02594198223764192	G002536, G003904, G003912, G007442, G010127, G012188, G012189, G013122, G013123, G016408, G016412, G016433, G017401, G023176, G023177, G025944
GO:0006658	BP	e	phosphatidylserine metabolic process	5/321	18/11561	0.00010175239307484009	7	5	0.02898671297719507	G006205, G011377, G011560, G016126, G025456
GO:0003146	BP	e	heart jogging	4/321	10/11561	0.00010731165676827578	7	4	0.029310110792726406	G003904, G003912, G023176, G023177
GO:0120036	BP	e	plasma membrane bounded cell projection organization	28/321	460/11561	0.00010803200116669672	5	28	0.029310110792726406	G001197, G002505, G003651, G003904, G003912, G004188, G004340, G007618, G007955, G008423, G008731, G010042, G010338, G010561, G011864, G014415, G014722, G014991, G014993, G020996, G021394, G021728, G023176, G023177, G023191, G023379, G024727, G026140
GO:0060562	BP	e	epithelial tube morphogenesis	8/321	54/11561	0.00011065495571304126	5	8	0.029323563263955934	G003904, G003912, G005557, G014991, G016593, G023176, G023177, G023191
GO:0003008	BP	e	system process	29/321	494/11561	0.00012518247988836155	2	29	0.03169898574061955	G001802, G002969, G003651, G004340, G005707, G005708, G006617, G006618, G006665, G008657, G010042, G010127, G010895, G011218, G012188, G012189, G013223, G014409, G019598, G020437, G021205, G022249, G023368, G023671, G023672, G023780, G024727, G026140, G026987
GO:0070121	BP	e	Kupffer's vesicle development	4/321	11/11561	0.0001649516593623238	3	4	0.038359676702728156	G003904, G003912, G023176, G023177
GO:0072009	BP	e	nephron epithelium development	4/321	11/11561	0.0001649516593623238	6	4	0.038359676702728156	G003904, G003912, G023176, G023177
GO:0072080	BP	e	nephron tubule development	4/321	11/11561	0.0001649516593623238	7	4	0.038359676702728156	G003904, G003912, G023176, G023177
GO:0032965	BP	e	regulation of collagen biosynthetic process	5/321	20/11561	0.00017589547455599337	5	5	0.038544787164722004	G003904, G003912, G012482, G023176, G023177
GO:0061371	BP	e	determination of heart left/right asymmetry	5/321	20/11561	0.00017589547455599337	6	5	0.038544787164722004	G003904, G003912, G016593, G023176, G023177
GO:0010842	BP	e	retina layer formation	5/321	20/11561	0.00017589547455599337	3	5	0.038544787164722004	G005557, G006665, G011377, G019562, G020996
GO:0044782	BP	e	cilium organization	16/321	205/11561	0.00019078584656544886	6	16	0.0410189570115715	G002505, G003904, G003912, G007618, G008423, G008731, G011864, G014415, G014722, G014991, G020996, G021728, G023176, G023177, G023191, G023379
GO:0120031	BP	e	plasma membrane bounded cell projection assembly	17/321	227/11561	0.00019901833735019053	6	17	0.041399951164428496	G002505, G003904, G003912, G004188, G007618, G007955, G008423, G008731, G011864, G014722, G014991, G020996, G021728, G023176, G023177, G023191, G023379
GO:0051715	BP	e	cytolysis in another organism	3/321	5/11561	0.00020345741686774867	5	3	0.041399951164428496	G012020, G012022, G012023
GO:0044179	BP	e	hemolysis in another organism	3/321	5/11561	0.00020345741686774867	6	3	0.041399951164428496	G012020, G012022, G012023
GO:0042391	BP	e	regulation of membrane potential	15/321	186/11561	0.00021106759332186425	3	15	0.04219500396320427	G002969, G003411, G003637, G006665, G007442, G008657, G010127, G013223, G016408, G017401, G019598, G020437, G021205, G023671, G023672
GO:0003002	BP	e	regionalization	13/321	148/11561	0.00024095935087678174	3	13	0.04521226635536897	G002505, G003385, G003904, G003912, G004188, G008423, G014722, G014991, G015663, G021728, G023176, G023177, G023191
GO:0071498	BP	e	cellular response to fluid shear stress	4/321	12/11561	0.00024203143902391464	4	4	0.04521226635536897	G003904, G003912, G023176, G023177
GO:0061326	BP	e	renal tubule development	4/321	12/11561	0.00024203143902391464	5	4	0.04521226635536897	G003904, G003912, G023176, G023177
GO:0030031	BP	e	cell projection assembly	17/321	233/11561	0.0002712035768154332	5	17	0.049844592867933246	G002505, G003904, G003912, G004188, G007618, G007955, G008423, G008731, G011864, G014722, G014991, G020996, G021728, G023176, G023177, G023191, G023379
GO:0006139	BP	p	nucleobase-containing compound metabolic process	13/321	1566/11561	1.7868552604045127e-08	4	13	4.611406967739188e-05	G001429, G001802, G003715, G003993, G008242, G009279, G009615, G010561, G013441, G015296, G015856, G018600, G022249
GO:0090304	BP	p	nucleic acid metabolic process	10/321	1304/11561	1.326253266372909e-07	5	10	0.0001889081996289912	G001429, G003715, G003993, G008242, G009279, G009615, G010561, G013441, G015296, G015856
GO:0043170	BP	p	macromolecule metabolic process	47/321	2971/11561	1.436843666032899e-06	3	47	0.0009631078573202872	G001429, G001534, G001802, G002610, G003715, G003993, G007042, G008242, G008758, G009279, G009615, G010561, G011632, G012188, G012189, G012192, G012194, G012482, G012926, G013027, G013441, G014930, G015296, G015856, G016433, G016593, G016740, G016778, G018382, G018460, G018472, G019724, G020115, G020646, G020735, G021081, G021301, G021394, G022249, G022588, G023191, G023698, G026140, G026987, G027527, G027605, G028447
GO:1901360	BP	p	organic cyclic compound metabolic process	21/321	1749/11561	2.5605602965309898e-06	3	21	0.001535662346261612	G001429, G001802, G003715, G003993, G004326, G007760, G008242, G008657, G009279, G009615, G010561, G012920, G012926, G013441, G015296, G015856, G018600, G020083, G022249, G027527, G028447
