# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0003676	MF	e	nucleic acid binding	508/2037	2360/11561	4.7857189600491726e-08	3	508	1.4394949687889137e-05	G000002, G000009, G000012, G000217, G000576, G000577, G000603, G000606, G001068, G001115, G001215, G001233, G001247, G001261, G001335, G001371, G001472, G001505, G001617, G001642, G001678, G001680, G001681, G001684, G001685, G001711, G001757, G001766, G001797, G001856, G001871, G001936, G002001, G002110, G002131, G002270, G002328, G002340, G002485, G002489, G002549, G002591, G003311, G003332, G003396, G003521, G003544, G003574, G003607, G003646, G003647, G003700, G003730, G003737, G003755, G003764, G003782, G003908, G003952, G003973, G003996, G003998, G004056, G004132, G004176, G004185, G004221, G004259, G004282, G004343, G004357, G004403, G004455, G004462, G004564, G004727, G004848, G004879, G004996, G005127, G005134, G005152, G005189, G005215, G005217, G005287, G005295, G005329, G005387, G005473, G005477, G005485, G005514, G005619, G005763, G005765, G005832, G005860, G005883, G005910, G005941, G005943, G005979, G005981, G006004, G006034, G006182, G006198, G006260, G006271, G006274, G006339, G006356, G006406, G006439, G006447, G006503, G006581, G006617, G006725, G006768, G006811, G006938, G006945, G007007, G007050, G007095, G007133, G007193, G007201, G007218, G007236, G007270, G007276, G007282, G007410, G007553, G007617, G007619, G007769, G007800, G007805, G007819, G007881, G007992, G008025, G008038, G008146, G008241, G008293, G008296, G008381, G008400, G008423, G008454, G008685, G008761, G008845, G008870, G008980, G009027, G009173, G009332, G009397, G009401, G009546, G009617, G009682, G009869, G009946, G009949, G009960, G010027, G010029, G010063, G010125, G010265, G010413, G010527, G010578, G010662, G010673, G010698, G010794, G010966, G010974, G010982, G010989, G011120, G011272, G011296, G011310, G011505, G011523, G011546, G011630, G011799, G011847, G011897, G011919, G012008, G012019, G012059, G012066, G012072, G012116, G012138, G012411, G012449, G012472, G012568, G012589, G012598, G012787, G012811, G012876, G012962, G013001, G013016, G013032, G013190, G013218, G013265, G013351, G013368, G013433, G013444, G013445, G013447, G013450, G013453, G013545, G013598, G013691, G013862, G013946, G014064, G014095, G014213, G014269, G014301, G014326, G014364, G014377, G014412, G014449, G014523, G014629, G014646, G014664, G014683, G014697, G014710, G014797, G014843, G014884, G014914, G014963, G015231, G015369, G015443, G015600, G015744, G015815, G015833, G015834, G016130, G016145, G016161, G016220, G016358, G016378, G016382, G016386, G016414, G016417, G016436, G016437, G016500, G016583, G016643, G016657, G016675, G016676, G016682, G016688, G016856, G016930, G016935, G016939, G017027, G017073, G017098, G017109, G017111, G017206, G017272, G017314, G017407, G017422, G017464, G017480, G017491, G017503, G017543, G017545, G017606, G017611, G017621, G017709, G017812, G017893, G017907, G017983, G018012, G018129, G018143, G018201, G018227, G018234, G018280, G018290, G018295, G018326, G018352, G018363, G018364, G018392, G018420, G018421, G018422, G018462, G018475, G018508, G018654, G018657, G018659, G018877, G019040, G019051, G019104, G019194, G019225, G019506, G019507, G019551, G019620, G019622, G019751, G019989, G020123, G020153, G020169, G020175, G020375, G020406, G020501, G020520, G020540, G020685, G020687, G020702, G020765, G020830, G020919, G020982, G021040, G021069, G021125, G021149, G021358, G021404, G021462, G021486, G021487, G021520, G021578, G021591, G021661, G021841, G021919, G021922, G021940, G021947, G021958, G022018, G022035, G022096, G022115, G022119, G022175, G022233, G022251, G022254, G022268, G022282, G022347, G022376, G022468, G022495, G022496, G022660, G022693, G022752, G022797, G022801, G022811, G022844, G022845, G022929, G023001, G023008, G023038, G023060, G023196, G023258, G023343, G023345, G023703, G023705, G023782, G023819, G023900, G024143, G024170, G024355, G024403, G024429, G024507, G024722, G024781, G024842, G024884, G024914, G024938, G025013, G025038, G025075, G025129, G025221, G025368, G025431, G025564, G025568, G025589, G025653, G025677, G025687, G025688, G025691, G025721, G025923, G025955, G026003, G026157, G026322, G026353, G026426, G026427, G026429, G026444, G026450, G026460, G026496, G026526, G026536, G026624, G026703, G026754, G026758, G026768, G026775, G026858, G026862, G026883, G026950, G026977, G027188, G027193, G027196, G027228, G027314, G027350, G027428, G027458, G027574, G027633, G027640, G027709, G027872, G027879, G027909, G027919, G027958, G027960, G027989, G028034, G028094, G028100, G028114, G028126, G028274, G028365, G028376, G028434, G028721, G028770, G028875
GO:0003723	MF	e	RNA binding	223/2037	911/11561	4.9310763094218384e-08	4	223	1.4394949687889137e-05	G000002, G000009, G000603, G001233, G001505, G001642, G001678, G001680, G001711, G001757, G001871, G002131, G002485, G003311, G003332, G003396, G003544, G003646, G003737, G003755, G003952, G003996, G003998, G004056, G004132, G004185, G004221, G004282, G004343, G004727, G004848, G004996, G005215, G005295, G005329, G005485, G005514, G005763, G005765, G005860, G005941, G005981, G006182, G006271, G006274, G006339, G006356, G006406, G006439, G006503, G006581, G006617, G007007, G007050, G007095, G007133, G007201, G007218, G007236, G007282, G007410, G007553, G007800, G007805, G007881, G007992, G008025, G008038, G008146, G008296, G008381, G008845, G009027, G009173, G009401, G009546, G009617, G009682, G009869, G009949, G010027, G010029, G010063, G010265, G010413, G010662, G010673, G010794, G010974, G010989, G011296, G011505, G011523, G011897, G012008, G012019, G012066, G012116, G012411, G012449, G013351, G013368, G013433, G013445, G013450, G013453, G013545, G013598, G013691, G013862, G014269, G014301, G014326, G014364, G014449, G014629, G014646, G014664, G014697, G014914, G014963, G015231, G015744, G016130, G016220, G016378, G016382, G016414, G016500, G016643, G016675, G016676, G016682, G016856, G017073, G017098, G017111, G017206, G017272, G017407, G017464, G017491, G017503, G017543, G017611, G017621, G017907, G017983, G018227, G018280, G018326, G018363, G018420, G018422, G018462, G018508, G018877, G019040, G019194, G019506, G019551, G019620, G019622, G020169, G020375, G020520, G020685, G020687, G020702, G020919, G021069, G021404, G021462, G021486, G021578, G021591, G021661, G022035, G022119, G022233, G022254, G022268, G022347, G022468, G022495, G022660, G022811, G022845, G022929, G023008, G023038, G023258, G024429, G024722, G024781, G025038, G025075, G025368, G025677, G025688, G026322, G026426, G026427, G026496, G026526, G026624, G026758, G026768, G027193, G027196, G027228, G027314, G027458, G027709, G027872, G027909, G027958, G027960, G028100, G028114, G028434, G028721, G028770
GO:0061629	MF	e	RNA polymerase II-specific DNA-binding transcription factor binding	49/2037	131/11561	8.518992790507662e-08	5	49	2.1553051759984386e-05	G000606, G003574, G003822, G003973, G004435, G005634, G005979, G006271, G006274, G007410, G008249, G008870, G009332, G009397, G009470, G010954, G011505, G011799, G011847, G012568, G013001, G013230, G014064, G014675, G015334, G015603, G015818, G016258, G016583, G016930, G016935, G019114, G020406, G020501, G021069, G021490, G021520, G021970, G022550, G023038, G023196, G023862, G025568, G026228, G026450, G026977, G027521, G027633, G028761
GO:0140030	MF	e	modification-dependent protein binding	42/2037	112/11561	5.283971784497195e-07	3	42	0.00011140373845648252	G001394, G001785, G003548, G003549, G003574, G004259, G007619, G008039, G008980, G009549, G011181, G012589, G012896, G014064, G014412, G014710, G014884, G014953, G016168, G016421, G017422, G017983, G019039, G019225, G019432, G019434, G020982, G021246, G021520, G021940, G022233, G023001, G023024, G023845, G024507, G025721, G026474, G026703, G026734, G027263, G027573, G028148
GO:0003712	MF	e	transcription coregulator activity	73/2037	237/11561	6.377044192541945e-07	3	73	0.00012737306689840358	G001200, G001362, G002591, G003423, G003574, G004282, G005271, G005670, G005832, G005835, G005846, G006034, G006271, G006274, G007410, G008870, G009285, G009331, G009397, G010493, G010749, G010954, G011332, G011505, G012589, G013230, G014064, G014343, G014797, G015602, G016040, G016130, G016168, G016258, G016421, G016750, G016819, G016930, G016935, G017606, G018129, G018399, G018421, G018592, G019114, G019554, G020247, G021069, G021722, G022268, G022280, G022550, G022592, G023196, G023290, G024143, G024464, G024470, G024597, G024651, G024914, G025076, G025129, G025568, G026344, G026503, G026536, G026638, G026734, G026977, G027068, G028323, G028324
GO:0016796	MF	e	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	24/2037	50/11561	7.549448759664499e-07	6	24	0.00013124800000126596	G000576, G000577, G001130, G001354, G005189, G007133, G007270, G010673, G010974, G016378, G016498, G016675, G016676, G016682, G017464, G018143, G019622, G020702, G022268, G023164, G024722, G026003, G026775, G027709
GO:0030674	MF	e	protein-macromolecule adaptor activity	113/2037	418/11561	1.1059320009218547e-06	2	113	0.00017487549764576827	G000956, G001200, G001362, G002001, G002008, G002591, G003423, G003548, G003574, G004259, G004282, G004455, G004462, G005271, G005542, G005670, G005832, G005835, G005846, G006034, G006271, G006274, G007410, G008025, G008379, G008870, G009285, G009331, G009397, G009915, G010460, G010493, G010749, G010914, G010954, G011298, G011332, G011505, G011720, G012589, G012668, G013230, G013994, G014040, G014064, G014343, G014615, G014660, G014668, G014797, G015301, G015602, G016040, G016130, G016168, G016258, G016421, G016443, G016750, G016819, G016930, G016935, G017606, G017812, G018129, G018399, G018421, G018457, G018592, G019114, G019432, G019434, G019554, G019739, G019756, G020247, G020687, G021069, G021722, G022208, G022268, G022280, G022550, G022592, G023196, G023290, G023638, G023837, G023870, G023892, G024143, G024464, G024470, G024597, G024651, G024914, G025076, G025129, G025273, G025568, G025782, G026322, G026344, G026474, G026503, G026536, G026638, G026734, G026977, G027068, G027998, G028323, G028324
GO:0008094	MF	e	ATP-dependent activity, acting on DNA	43/2037	119/11561	1.2706200941885148e-06	4	43	0.00019288013029781655	G001200, G001472, G003647, G003814, G004176, G004282, G005910, G005979, G006447, G006945, G007617, G007619, G010265, G011847, G012962, G013444, G014095, G014523, G015815, G016436, G016657, G018234, G018290, G018363, G018657, G018659, G019751, G020123, G020175, G021040, G021487, G021841, G021940, G022115, G022282, G022376, G024355, G024507, G025637, G025642, G025653, G028034, G028094
GO:0060090	MF	e	molecular adaptor activity	122/2037	466/11561	2.8261843103434695e-06	1	122	0.00038304890920548096	G000956, G001200, G001355, G001362, G002001, G002008, G002459, G002591, G003423, G003548, G003574, G004259, G004282, G004455, G004462, G005271, G005487, G005542, G005670, G005832, G005835, G005846, G006034, G006271, G006274, G007410, G008025, G008379, G008870, G009285, G009331, G009397, G009549, G009915, G010460, G010493, G010749, G010914, G010954, G011298, G011332, G011505, G011720, G012589, G012668, G013230, G013994, G014040, G014064, G014343, G014615, G014660, G014668, G014797, G014842, G015301, G015602, G016040, G016130, G016168, G016258, G016421, G016443, G016750, G016819, G016930, G016935, G017606, G017812, G018129, G018399, G018421, G018457, G018592, G019114, G019321, G019432, G019434, G019554, G019739, G019756, G020247, G020666, G020687, G021069, G021722, G022208, G022268, G022280, G022550, G022592, G023196, G023290, G023638, G023837, G023870, G023892, G024143, G024464, G024470, G024597, G024651, G024914, G025076, G025129, G025273, G025568, G025782, G026322, G026344, G026474, G026496, G026503, G026536, G026638, G026734, G026977, G027068, G027521, G027998, G028323, G028324
GO:0042826	MF	e	histone deacetylase binding	17/2037	31/11561	3.074406921518795e-06	4	17	0.0004023232505918561	G002553, G003423, G006607, G011847, G013041, G013190, G015602, G016829, G016935, G018931, G019432, G019434, G020501, G021722, G023038, G025075, G026703
