# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0017076	MF	p	purine nucleotide binding	7/200	1627/11561	9.365270620383085e-07	5	7	0.0005923533667392301	G004274, G009615, G012093, G012482, G016753, G017164, G023416
GO:0097159	MF	p	organic cyclic compound binding	38/200	4007/11561	1.272061121104448e-06	2	38	0.0006034339943239226	G001197, G001215, G002340, G003992, G003993, G004274, G004305, G004960, G005557, G006617, G006810, G008423, G008583, G009332, G009615, G009882, G010561, G010800, G011718, G012093, G012482, G012926, G014365, G015632, G016399, G016753, G016939, G017164, G017209, G018201, G018326, G020920, G022496, G023416, G025687, G025690, G027527, G028447
GO:0032553	MF	p	ribonucleotide binding	7/200	1574/11561	2.0047495932666666e-06	5	7	0.000845336078494111	G004274, G009615, G012093, G012482, G016753, G017164, G023416
GO:0030554	MF	p	adenyl nucleotide binding	5/200	1381/11561	2.4089369062010346e-06	6	5	0.0009141915559032925	G009615, G012093, G012482, G016753, G017164
GO:0032555	MF	p	purine ribonucleotide binding	7/200	1557/11561	2.9279926087540275e-06	6	7	0.0010101574500201395	G004274, G009615, G012093, G012482, G016753, G017164, G023416
GO:0035639	MF	p	purine ribonucleoside triphosphate binding	7/200	1528/11561	4.235469697694958e-06	5	7	0.0013394672918960306	G004274, G009615, G012093, G012482, G016753, G017164, G023416
GO:1901363	MF	p	heterocyclic compound binding	11/200	1853/11561	6.236205878700833e-06	3	11	0.001690457236404976	G004274, G008583, G009615, G012093, G012482, G012926, G016753, G017164, G023416, G027527, G028447
GO:0032559	MF	p	adenyl ribonucleotide binding	5/200	1311/11561	7.633162274028595e-06	7	5	0.0019311900553292346	G009615, G012093, G012482, G016753, G017164
GO:0005524	MF	p	ATP binding	5/200	1284/11561	1.0969178004500313e-05	8	5	0.0024487076780634522	G009615, G012093, G012482, G016753, G017164
GO:0097367	MF	p	carbohydrate derivative binding	12/200	1766/11561	6.414859107868456e-05	2	12	0.010143495964316995	G001597, G003651, G004274, G009615, G012093, G012482, G016753, G017164, G021816, G023264, G023416, G024727
GO:0043168	MF	p	anion binding	14/200	1915/11561	7.468677005822169e-05	4	14	0.011337451694838054	G004274, G004586, G008583, G009615, G010561, G012093, G012482, G012926, G016753, G017164, G021735, G023416, G027527, G028447
GO:0005515	MF	p	protein binding	40/200	3675/11561	0.0002200290158948035	2	40	0.023194725425577198	G001215, G001789, G002022, G003651, G004095, G004740, G006311, G006617, G006810, G006942, G006982, G007822, G009332, G009615, G010561, G011718, G013739, G016753, G016848, G016858, G018326, G018382, G019075, G019644, G019646, G019976, G020405, G020737, G021301, G021735, G021801, G021814, G023264, G023416, G024727, G026233, G026987, G027990, G028320, G028463
GO:0060090	MF	p	molecular adaptor activity	0/200	466/11561	0.00041363479379129644	1	0	0.034124870487781955	
