# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0044217	CC	e	other organism part	2/12	7/11561	2.0681748300069536e-05	2	2	0.015663130656000127	G012022, G012023
GO:0044218	CC	e	other organism cell membrane	2/12	7/11561	2.0681748300069536e-05	3	2	0.015663130656000127	G012022, G012023
GO:0042151	CC	e	nematocyst	2/12	8/11561	2.755976068504421e-05	5	2	0.015663130656000127	G012022, G012023
GO:0090729	MF	e	toxin activity	3/12	19/11561	8.202835062934069e-07	1	3	0.0031129759063834796	G012022, G012023, G013787
