ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G000104					1							1		1																			1							1				1		
HVAEP1-G000105	1		1		1	1	1							1																				1						1		1	1	1	1	
HVAEP1-G000108		1					1		1			1	1	1						1	1		1						1	1	1		1	1		1			1		1	1	1	1		
HVAEP1-G000114	1	1	1										1	1					1	1	1	1									1		1			1					1	1	1	1	1	
HVAEP1-G000117		1												1			1				1														1							1	1	1		
HVAEP1-G000123			1	1		1							1		1											1															1	1			1	1
HVAEP1-G000124	1	1	1		1						1							1																1		1				1			1		1	
HVAEP1-G000125	1		1		1		1				1				1	1	1		1	1	1					1				1			1	1	1	1		1		1		1	1		1	
HVAEP1-G000127	1		1	1	1		1	1			1			1	1					1		1		1				1				1	1	1	1	1	1			1			1	1	1	1
HVAEP1-G000128	1	1	1	1	1		1				1	1	1	1	1	1				1	1							1			1		1	1	1	1		1		1	1	1	1	1	1	1
HVAEP1-G000129		1	1				1				1				1																			1									1		1	
HVAEP1-G000130	1	1	1		1	1		1					1	1								1			1								1							1	1	1	1	1	1	
HVAEP1-G000131		1	1	1	1	1		1			1		1	1					1	1		1							1				1	1		1				1	1	1	1	1	1	1
HVAEP1-G000132		1		1					1	1			1	1	1			1		1																1			1		1		1	1		1
HVAEP1-G000133			1								1		1	1																				1							1			1	1	
HVAEP1-G000134		1																																									1			
HVAEP1-G000135		1	1	1			1				1		1	1				1			1													1		1					1	1	1	1	1	1
HVAEP1-G000136		1			1	1	1	1					1	1						1											1		1	1		1				1	1	1	1	1		
HVAEP1-G000137	1	1	1		1	1	1						1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000138	1	1	1		1	1	1						1	1								1			1								1	1						1	1	1	1	1	1	
HVAEP1-G000154			1	1	1	1	1						1	1	1		1	1		1				1		1					1		1	1	1	1	1			1	1	1		1	1	1
HVAEP1-G000155	1			1	1	1	1	1		1				1	1		1			1								1	1				1	1	1	1				1		1	1	1		1
HVAEP1-G000157	1	1	1		1	1	1				1		1	1					1															1		1				1	1	1	1	1	1	
HVAEP1-G000158	1	1	1		1	1	1						1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000159	1			1	1		1		1	1			1	1		1			1	1							1	1				1	1	1	1	1		1	1	1	1		1	1		1
HVAEP1-G000160	1	1	1		1	1		1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000162		1												1				1																		1							1	1		
HVAEP1-G000163			1				1																											1											1	
HVAEP1-G000164		1						1					1	1						1	1								1				1			1				1	1	1	1	1		
HVAEP1-G000167	1		1		1	1	1	1					1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000168			1					1		1	1			1	1		1				1							1						1	1	1				1		1		1	1	
HVAEP1-G000172	1	1					1						1	1							1					1								1							1	1	1	1		
HVAEP1-G000182	1	1	1	1	1				1	1	1		1	1	1				1	1							1							1	1	1			1	1	1		1	1	1	1
HVAEP1-G000183	1		1	1					1	1	1		1	1	1									1										1		1	1		1		1		1	1	1	1
HVAEP1-G000184	1			1		1											1			1		1	1		1				1		1	1	1		1	1						1	1			1
HVAEP1-G000186	1	1	1	1	1	1		1		1			1	1					1																	1				1	1	1	1	1	1	1
HVAEP1-G000188		1	1					1					1	1		1		1			1			1				1		1			1		1	1	1	1		1	1	1	1	1	1	
HVAEP1-G000189	1	1	1		1						1	1		1	1			1	1	1				1	1		1						1	1	1	1	1			1			1	1	1	
HVAEP1-G000190					1							1		1							1												1							1		1		1		
HVAEP1-G000191	1							1				1								1					1					1	1		1			1				1			1			
HVAEP1-G000192				1		1	1			1		1						1	1	1						1		1		1			1	1	1	1						1				1
HVAEP1-G000194	1	1	1	1		1	1			1	1		1	1		1				1														1		1		1			1	1	1	1	1	1
HVAEP1-G000196	1	1	1		1	1	1	1					1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000201	1	1	1		1	1							1	1						1		1	1		1						1		1			1				1	1	1	1	1	1	
HVAEP1-G000206	1	1	1	1			1	1						1				1		1	1							1						1	1	1				1		1	1	1	1	1
HVAEP1-G000207				1									1	1																											1			1		1
HVAEP1-G000208	1	1	1		1	1		1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000209	1	1	1		1	1		1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000210	1	1	1				1						1	1			1			1	1				1								1	1	1	1					1	1	1	1	1	
HVAEP1-G000212	1	1	1	1	1		1	1					1	1			1	1	1		1						1							1	1	1				1	1	1	1	1	1	1
HVAEP1-G000217	1		1	1	1	1	1	1	1	1	1	1			1		1			1													1	1	1	1			1	1		1	1		1	1
HVAEP1-G000218	1	1	1		1	1	1						1	1					1		1													1		1				1	1	1	1	1	1	
HVAEP1-G000220	1	1		1	1		1		1	1			1	1					1		1													1		1			1	1	1	1	1	1		1
HVAEP1-G000224		1		1			1			1	1			1	1	1					1						1							1	1	1		1				1	1	1		1
HVAEP1-G000227	1			1			1							1		1		1	1	1	1	1	1		1					1		1	1	1		1		1				1	1	1		1
HVAEP1-G000228			1				1							1																				1										1	1	
HVAEP1-G000232	1	1	1		1	1	1	1					1	1							1													1						1	1	1	1	1	1	
HVAEP1-G000233	1	1	1		1	1		1					1	1							1																			1	1	1	1	1	1	
HVAEP1-G000238		1											1	1							1																				1	1	1	1		
HVAEP1-G000240													1	1																											1			1		
HVAEP1-G000241							1							1																				1										1		
