ID	CLS
HVAEP1-G000030	Ec_BodyCol/SC
HVAEP1-G000030	I_ISC
HVAEP1-G000030	Ec_Tentacle
HVAEP1-G000030	I_FemGC
HVAEP1-G000030	I_GlProgen
HVAEP1-G000030	Ec_BasalDisk
HVAEP1-G000030	I_Neuro
HVAEP1-G000030	I_GranGl
HVAEP1-G000030	I_EarlyNem
HVAEP1-G000030	I_MaleGC
HVAEP1-G000030	I_IsoNC
HVAEP1-G000032	Ec_Head
HVAEP1-G000032	En_Foot
HVAEP1-G000032	En_BodyCol/SC
HVAEP1-G000032	En_Head
HVAEP1-G000032	Ec_BodyCol/SC
HVAEP1-G000032	En_Tentacle
HVAEP1-G000032	Ec_Peduncle
HVAEP1-G000032	Ec_Tentacle
HVAEP1-G000035	I_ISC
HVAEP1-G000035	I_EarlyNem
HVAEP1-G000035	I_MaleGC
HVAEP1-G000035	I_DesmoNC
HVAEP1-G000035	I_IsoNC
HVAEP1-G000035	I_DesmoNB
HVAEP1-G000035	I_IsoNB
HVAEP1-G000036	En_Foot
HVAEP1-G000036	En_BodyCol/SC
HVAEP1-G000036	En_Head
HVAEP1-G000036	En_Tentacle
HVAEP1-G000036	Ec_Peduncle
HVAEP1-G000036	I_FemGC
HVAEP1-G000036	I_IsoNC
HVAEP1-G000037	Ec_Head
HVAEP1-G000037	En_Foot
HVAEP1-G000037	En_BodyCol/SC
HVAEP1-G000037	En_Head
HVAEP1-G000037	Ec_Tentacle
HVAEP1-G000037	I_GlProgen
HVAEP1-G000038	Ec_Head
HVAEP1-G000038	En_Foot
HVAEP1-G000038	En_Head
HVAEP1-G000038	I_ZymoGl
HVAEP1-G000038	Ec_Peduncle
HVAEP1-G000038	Ec_Tentacle
HVAEP1-G000038	Ec_BasalDisk
HVAEP1-G000038	I_StenoNB
HVAEP1-G000038	I_IsoNC
HVAEP1-G000038	I_DesmoNB
HVAEP1-G000038	I_IsoNB
HVAEP1-G000038	I_Ec1N
HVAEP1-G000039	Ec_Head
HVAEP1-G000039	Ec_BodyCol/SC
HVAEP1-G000039	En_Tentacle
HVAEP1-G000039	I_ISC
HVAEP1-G000039	I_Neuro
HVAEP1-G000039	I_IsoNC
HVAEP1-G000039	I_StenoNC
HVAEP1-G000039	I_IsoNB
HVAEP1-G000039	I_Ec1N
HVAEP1-G000039	I_Ec3N
HVAEP1-G000039	I_Ec2N
HVAEP1-G000040	Ec_Head
HVAEP1-G000040	En_Foot
HVAEP1-G000040	I_ISC
HVAEP1-G000040	Ec_Peduncle
HVAEP1-G000040	Ec_Tentacle
HVAEP1-G000040	I_FemGC
HVAEP1-G000040	I_EarlyNem
HVAEP1-G000040	I_StenoNB
HVAEP1-G000040	I_IsoNC
HVAEP1-G000040	I_IsoNB
HVAEP1-G000040	I_Ec3N
HVAEP1-G000042	Ec_Head
HVAEP1-G000042	En_BodyCol/SC
HVAEP1-G000042	En_Head
HVAEP1-G000042	Ec_BodyCol/SC
HVAEP1-G000042	I_ISC
HVAEP1-G000042	Ec_Peduncle
HVAEP1-G000042	Ec_Tentacle
HVAEP1-G000042	I_GlProgen
HVAEP1-G000042	Ec_BasalDisk
HVAEP1-G000042	I_EarlyNem
HVAEP1-G000042	I_DesmoNC
HVAEP1-G000042	I_IsoNC
HVAEP1-G000042	I_Ec4N
HVAEP1-G000042	I_Ec1/5N
HVAEP1-G000043	Ec_Head
HVAEP1-G000043	En_Head
HVAEP1-G000043	En_Tentacle
HVAEP1-G000043	I_ISC
HVAEP1-G000043	Ec_Tentacle
HVAEP1-G000043	Ec_BasalDisk
HVAEP1-G000043	I_EarlyNem
HVAEP1-G000043	I_MaleGC
HVAEP1-G000043	I_SpumMucGl
HVAEP1-G000043	I_StenoNC
HVAEP1-G000043	I_IsoNB
HVAEP1-G000043	I_Ec3N
HVAEP1-G000044	En_BodyCol/SC
HVAEP1-G000044	Ec_Peduncle
HVAEP1-G000044	I_FemGC
HVAEP1-G000048	Ec_Head
HVAEP1-G000048	En_Foot
HVAEP1-G000048	En_BodyCol/SC
HVAEP1-G000048	En_Head
HVAEP1-G000048	Ec_BodyCol/SC
HVAEP1-G000048	En_Tentacle
HVAEP1-G000048	I_ZymoGl
HVAEP1-G000048	Ec_Peduncle
HVAEP1-G000048	Ec_Tentacle
HVAEP1-G000048	I_FemGC
HVAEP1-G000048	Ec_BasalDisk
HVAEP1-G000048	I_StenoNB
HVAEP1-G000049	Ec_Head
HVAEP1-G000049	En_BodyCol/SC
HVAEP1-G000049	En_Head
HVAEP1-G000049	Ec_BodyCol/SC
HVAEP1-G000049	I_ISC
HVAEP1-G000049	Ec_Peduncle
HVAEP1-G000049	I_FemGC
HVAEP1-G000049	I_MaleGC
HVAEP1-G000049	I_StenoNB
HVAEP1-G000049	I_IsoNC
HVAEP1-G000049	I_StenoNC
HVAEP1-G000050	Ec_Head
HVAEP1-G000050	En_Foot
HVAEP1-G000050	En_BodyCol/SC
HVAEP1-G000050	En_Head
HVAEP1-G000050	Ec_BodyCol/SC
HVAEP1-G000050	I_ZymoGl
HVAEP1-G000050	I_ISC
HVAEP1-G000050	Ec_Peduncle
HVAEP1-G000050	Ec_Tentacle
HVAEP1-G000050	I_FemGC
HVAEP1-G000050	I_GlProgen
HVAEP1-G000050	Ec_BasalDisk
HVAEP1-G000050	I_Neuro
HVAEP1-G000050	I_MaleGC
HVAEP1-G000051	En_BodyCol/SC
HVAEP1-G000051	I_Neuro
HVAEP1-G000053	Ec_Head
HVAEP1-G000053	En_Head
HVAEP1-G000053	Ec_BodyCol/SC
HVAEP1-G000053	En_Tentacle
