ID	Ec_Head	En_Head	Ec_BodyCol/SC	I_ISC	Ec_Peduncle	Ec_Tentacle	I_FemGC	Ec_BasalDisk	I_Neuro	I_EarlyNem	I_MaleGC	I_En2N	En_Foot	En_BodyCol/SC	I_ZymoGl	I_GlProgen	I_StenoNB	I_DesmoNC	I_IsoNC	I_StenoNC	En_Tentacle	I_Ec1N	I_Ec4N	I_SpumMucGl	I_Ec3N	I_GranGl	I_DesmoNB	I_IsoNB	I_Ec2N	I_Ec1/5N	I_En1N	I_En3N	C_neuron	C_germline	C_nematoblast	C_nematocytes	C_gland_cell	C_progenitor	C_neuroprogenitor	C_EC_foot	C_EN_foot	C_tentacle	C_head	L_ENDODERM	L_ECTODERM	L_INTERSTITIAL
HVAEP1-G000409																																														
HVAEP1-G000414																																														
HVAEP1-G000415																																											1			
HVAEP1-G000416																																														
HVAEP1-G000418																																														
HVAEP1-G000419																																													1	
HVAEP1-G000420																																														
HVAEP1-G000425																																												1		
HVAEP1-G000426																																														
HVAEP1-G000427																																												1		
HVAEP1-G000435																																														
HVAEP1-G000439																																														
HVAEP1-G000440																																														
HVAEP1-G000441																																														
HVAEP1-G000442																																														
HVAEP1-G000443																																														1
HVAEP1-G000444																																														
HVAEP1-G000445																																											1			
HVAEP1-G000449																																														
HVAEP1-G000450																																														
HVAEP1-G000451																																														
HVAEP1-G000452																																														
HVAEP1-G000454																																														
HVAEP1-G000455																																														
HVAEP1-G000456																																														
HVAEP1-G000457																																														
HVAEP1-G000459								1																																1						
HVAEP1-G000460																																														
HVAEP1-G000461																																														
HVAEP1-G000462																																														
HVAEP1-G000463																																														
HVAEP1-G000464																																														
HVAEP1-G000466																																														
HVAEP1-G000467																																														
HVAEP1-G000468																																														
HVAEP1-G000469																																													1	
HVAEP1-G000471																																													1	
HVAEP1-G000473																																													1	
HVAEP1-G000475																																														1
HVAEP1-G000479																																														1
HVAEP1-G000483																																														
HVAEP1-G000486																																														1
HVAEP1-G000488																																														
HVAEP1-G000489																																													1	
HVAEP1-G000490																																														
HVAEP1-G000491																																														
HVAEP1-G000495																																														
HVAEP1-G000496																																														
HVAEP1-G000501																																												1		
HVAEP1-G000509																																												1		
HVAEP1-G000511																																														
HVAEP1-G000513																																														
HVAEP1-G000514																																														
HVAEP1-G000515																																														
HVAEP1-G000519																																														
HVAEP1-G000520																																													1	
HVAEP1-G000521																																													1	
HVAEP1-G000523																																													1	
HVAEP1-G000524																																														
HVAEP1-G000526																																														
HVAEP1-G000528																																														
HVAEP1-G000529																																														
HVAEP1-G000530																																														
HVAEP1-G000532																																														
HVAEP1-G000541																																												1		
HVAEP1-G000542																																														
HVAEP1-G000546																																														
HVAEP1-G000547																																														
HVAEP1-G000548																																														1
HVAEP1-G000549																																														
HVAEP1-G000550																																													1	
HVAEP1-G000551																																											1			
HVAEP1-G000552																																														
HVAEP1-G000553																																														
HVAEP1-G000554																																														
HVAEP1-G000555																																														
HVAEP1-G000557																																													1	
HVAEP1-G000558																																														
HVAEP1-G000559																																														
HVAEP1-G000560																																														
HVAEP1-G000561																																														
HVAEP1-G000562																																														
HVAEP1-G000563																																														
HVAEP1-G000564																																														
HVAEP1-G000567																																														
HVAEP1-G000572																																												1		
HVAEP1-G000573																																												1		
HVAEP1-G000574																																														
HVAEP1-G000575																																														
HVAEP1-G000576																																														
HVAEP1-G000577																																														
HVAEP1-G000578																																		1												1
HVAEP1-G000580																																														
HVAEP1-G000581																																												1		
HVAEP1-G000582																																												1		
HVAEP1-G000583																																												1		
HVAEP1-G000584																																												1		
HVAEP1-G000585																																												1		
HVAEP1-G000586																				1																1										
HVAEP1-G000587																																														
HVAEP1-G000591																																												1		
HVAEP1-G000592																																												1		
HVAEP1-G000593																																												1		
HVAEP1-G000595																																												1		
HVAEP1-G000596																																														
HVAEP1-G000597																																														
HVAEP1-G000598																																														
HVAEP1-G000599																																														
HVAEP1-G000600																																													1	
HVAEP1-G000601																																														
HVAEP1-G000603																																														
HVAEP1-G000604																																														
HVAEP1-G000605																																													1	
HVAEP1-G000606																																														
HVAEP1-G000607																																														
HVAEP1-G000608																																														
HVAEP1-G000611																																														
HVAEP1-G000613																																												1		
HVAEP1-G000616																																												1		
HVAEP1-G000618																																														
HVAEP1-G000620																																												1		
HVAEP1-G000622																																														
HVAEP1-G000624																																														
HVAEP1-G000626																																												1		
HVAEP1-G000627																																														
HVAEP1-G000628																																														
HVAEP1-G000629																																													1	
HVAEP1-G000632																																														
HVAEP1-G000635																																														
HVAEP1-G000636																																														
